subID,gender,csps_acq,cspe_acq,CS-_acq,csps_ext,cspe_ext,CS-_ext,csps_tes,cspe_tes,CS-_tes
1,female,0.0712,0.0198,0.0556,0.1,0,0,0.1982,0.0052,0.0866
3,male,0.1284,0.0465,0.0322,0,0,0,0.0192,0,0.1299
5,male,0.0814,0.0969,0.0447,0.1282,0.149,0.0101,0.0857,0.0109,0.1102
6,male,0.0579,0.0128,0.0556,0,0,0,0,0,0
7,female,0.1776,0.0743,0.131,0.1444,0.0763,0.0806,0.025,0.1075,0.0632
8,male,0,0,0,0.1,0,0,0,0,0
9,female,0.0132,0.1515,0,0.0401,0.1581,0,0.1836,0.0158,0.0402
10,female,0.0996,0.0588,0.1232,0.0237,0.1075,0.2097,0,0.0352,0.1717
11,male,0.1203,0.0967,0.0797,0.0526,0.2035,0.3352,0.2185,0.1704,0.2199
12,male,0.0945,0.0213,0.0383,0.1,0,0.068,0,0.0762,0.1425
13,male,0.2372,0.1768,0.0973,0.0253,0.1222,0.0317,0.0668,0.195,0.0747
14,female,0.0134,0.0145,0.0826,0.0812,0.1134,0.1,0.023,0.0535,0.171
15,female,0.1025,0.1431,0.1432,0.1,0,0.039,0.0156,0.1393,0.007
16,male,0.127,0.0589,0.0758,0.0514,0.1619,0.1492,0.1053,0.0176,0
17,male,0.1814,0.1553,0.1115,0.1797,0.0737,0.1844,0.2784,0.0416,0.0768
18,male,0,0,0,0,0,0,0.024,0.1141,0.0355
19,male,0.0913,0.0766,0.1318,0.217,0.2017,0.0266,0.1684,0.126,0.025
20,female,0,0,0,0,0,0,0.1,0.0644,0
21,male,0.0136,0.1294,0.007,0.1387,0.0308,0.1609,0.1,0.112,0.0442
22,male,0.04,0.0657,0.0911,0.0915,0.148,0.0021,0.1107,0.0258,0
23,male,0.0265,0.054,0.0738,0.1,0.0294,0.0427,0.1,0.0096,0
24,male,0.036,0.0627,0.0842,0.1775,0.0064,0.0493,0.1957,0.0857,0.152
25,female,0,0,0,0.191,0,0,0.1,0,0
26,male,0.0623,0.1462,0.1116,0.1662,0.2779,0.4947,0.2899,0.1925,0.1216
27,male,0.0525,0.1792,0.0732,0.2223,0.4066,0.2434,0.066,0,0.1
28,female,0.1265,0.0937,0.0225,0,0.1,0.0253,0.1,0,0
29,male,0.1063,0.1611,0.0942,0.025,0.0782,0.1239,0.1818,0.1554,0.1465
30,female,0.0542,0.0658,0.0034,0,0,0,0.1,0,0
31,female,0,0,0,0,0,0,0,0,0
32,female,0.031,0.0671,0.0273,0,0.0613,0.1,0.1331,0,0.0425
33,male,0.3144,0.1956,0.1808,0.0982,0.1949,0.2621,0.0766,0.2516,0.1076
34,male,0.1261,0.1237,0.0611,0.0223,0.2223,0.0544,0.2166,0.0447,0.0453
35,male,0.0877,0.0688,0.0773,0.1235,0.0132,0.2215,0,0,0
36,male,0.082,0.1046,0.0112,0.0083,0.0068,0.1099,0.0234,0.0542,0.1625
37,male,0.0803,0.2978,0.0816,0.1063,0.0265,0.1052,0.2637,0.0367,0.068
38,male,0.0528,0.1704,0.0928,0.1481,0.1553,0.2116,0.169,0.047,0.0449
39,female,0,0,0,0,0,0,0,0,0.1
40,male,0,0.0745,0.0189,0.1379,0.1353,0.103,0.1767,0.2732,0.2205
41,male,0.2702,0.1876,0.1433,0.1221,0.268,0.1905,0.2979,0.2989,0.2288
42,male,0.0601,0.0968,0.157,0.1,0.0524,0.0922,0.0904,0.1968,0.1401
43,male,0.1057,0.1584,0.107,0.1514,0.0035,0.0829,0.0626,0.0055,0.1057
44,female,0.2111,0.1954,0.2081,0.0402,0.142,0.2249,0.2249,0.0546,0.0575
