subID,gender,hpc_acq_Sp,dlpfc_acq_Sp,hpc_ext_Sp,dlpfc_ext_Sp,hpc_tes_Sp,dlpfc_tes_Sp,hpc_acq_Up,dlpfc_acq_Up,hpc_ext_Up,dlpfc_ext_Up,hpc_tes_Up,dlpfc_tes_Up
3,male,0.50625,0.5125,0.4875,0.3375,0.4,0.45,0.527777777777778,0.583333333333333,0.45,0.65,0.4,0.5
5,male,0.41875,0.45625,0.775,0.675,0.525,0.6875,0.527777777777778,0.555555555555556,0.7,0.75,0.75,0.55
6,male,0.48125,0.5625,0.6375,0.6,0.625,0.5125,0.472222222222222,0.638888888888889,0.5,0.7,0.7,0.45
7,female,0.65,0.5125,0.5375,0.6875,0.6625,0.6125,0.555555555555556,0.583333333333333,0.5,0.55,0.6,0.55
8,male,0.53125,0.54375,0.675,0.7,0.3875,0.4625,0.75,0.75,0.6,0.55,0.55,0.75
9,female,0.50625,0.58125,0.6,0.5375,0.725,0.525,0.5,0.444444444444444,0.5,0.7,0.5,0.7
10,female,0.4125,0.45,0.4125,0.5125,0.525,0.5125,0.388888888888889,0.5,0.6,0.55,0.4,0.55
11,male,0.44375,0.46875,0.4875,0.4375,0.5,0.65,0.527777777777778,0.583333333333333,0.6,0.5,0.75,0.5
12,male,0.49375,0.6125,0.675,0.45,0.775,0.65,0.527777777777778,0.527777777777778,0.5,0.9,0.35,0.65
13,male,0.475,0.51875,0.5375,0.7,0.6125,0.525,0.527777777777778,0.555555555555556,0.65,0.6,0.5,0.35
14,female,0.575,0.5125,0.7625,0.4875,0.6,0.6625,0.666666666666667,0.666666666666667,0.65,0.55,0.7,0.7
15,female,0.5375,0.6125,0.6125,0.5125,0.725,0.5625,0.694444444444444,0.444444444444444,0.5,0.65,0.45,0.5
16,male,0.65,0.65,0.5,0.3125,0.4625,0.3125,0.777777777777778,0.777777777777778,0.75,0.35,0.55,0.65
17,male,0.5,0.4375,0.5,0.5875,0.2625,0.4875,0.555555555555556,0.638888888888889,0.5,0.75,0.55,0.6
18,male,0.5,0.64375,0.525,0.4875,0.375,0.55,0.527777777777778,0.611111111111111,0.55,0.5,0.45,0.55
19,male,0.46875,0.46875,0.4875,0.375,0.5375,0.3875,0.444444444444444,0.472222222222222,0.65,0.3,0.65,0.5
20,female,0.4875,0.50625,0.6375,0.7,0.5,0.7,0.583333333333333,0.694444444444444,0.7,0.85,0.25,0.5
21,male,0.48125,0.49375,0.625,0.6125,0.6875,0.6375,0.527777777777778,0.666666666666667,0.65,0.5,0.75,0.65
22,male,0.43125,0.5125,0.45,0.675,0.375,0.375,0.666666666666667,0.611111111111111,0.55,0.5,0.55,0.5
23,male,0.625,0.55,0.625,0.75,0.4,0.6125,0.527777777777778,0.722222222222222,0.6,0.6,0.55,0.55
24,male,0.575,0.4625,0.425,0.375,0.575,0.4125,0.416666666666667,0.722222222222222,0.5,0.8,0.6,0.4
25,female,0.575,0.58125,0.6125,0.5375,0.575,0.5625,0.611111111111111,0.666666666666667,0.55,0.55,0.45,0.7
26,male,0.61875,0.58125,0.3875,0.625,0.625,0.55,0.388888888888889,0.611111111111111,0.35,0.75,0.25,0.6
27,male,0.6,0.6125,0.7875,0.6625,0.55,0.525,0.388888888888889,0.5,0.6,0.7,0.7,0.7
28,female,0.55,0.5875,0.5875,0.5,0.4875,0.4375,0.472222222222222,0.638888888888889,0.6,0.6,0.45,0.65
29,male,0.7125,0.75625,0.5375,0.4375,0.4875,0.6625,0.444444444444444,0.75,0.25,0.5,0.4,0.6
30,female,0.575,0.4625,0.525,0.5625,0.4625,0.6,0.5,0.5,0.4,0.7,0.5,0.7
31,female,0.5,0.68125,0.4125,0.5625,0.4875,0.4625,0.555555555555556,0.611111111111111,0.6,0.65,0.4,0.45
32,female,0.48125,0.56875,0.4625,0.6625,0.525,0.5625,0.5,0.722222222222222,0.6,0.85,0.7,0.65
33,male,0.54375,0.66875,0.425,0.7875,0.4125,0.5875,0.583333333333333,0.722222222222222,0.55,0.65,0.55,0.45
34,male,0.4,0.65625,0.65,0.625,0.5375,0.5875,0.5,0.611111111111111,0.4,0.7,0.6,0.75
35,male,0.6,0.4625,0.5875,0.6,0.4875,0.5375,0.638888888888889,0.611111111111111,0.4,0.7,0.6,0.75
36,male,0.525,0.5,0.65,0.625,0.6625,0.5875,0.555555555555556,0.555555555555556,0.75,0.75,0.4,0.6
37,male,0.525,0.51875,0.65,0.525,0.4625,0.6875,0.527777777777778,0.666666666666667,0.65,0.5,0.4,0.65
38,male,0.6,0.58125,0.55,0.5625,0.35,0.6625,0.583333333333333,0.527777777777778,0.45,0.3,0.55,0.5
39,female,0.70625,0.575,0.4125,0.6375,0.625,0.55,0.583333333333333,0.611111111111111,0.45,0.4,0.55,0.4
40,male,0.5875,0.58125,0.7375,0.5875,0.65,0.7,0.527777777777778,0.555555555555556,0.7,0.65,0.7,0.85
41,male,0.5375,0.48125,0.6375,0.55,0.5875,0.6,0.5,0.694444444444444,0.5,0.55,0.6,0.75
42,male,0.66875,0.50625,0.5125,0.3875,0.65,0.625,0.75,0.722222222222222,0.5,0.35,0.45,0.65
43,male,0.64375,0.61875,0.575,0.4875,0.6,0.7625,0.694444444444444,0.5,0.7,0.75,0.7,0.55
44,female,0.525,0.59375,0.45,0.6,0.4625,0.475,0.583333333333333,0.5,0.55,0.75,0.55,0.6
