hpc_acq,dlpfc_acq,hpc_ext,dlpfc_ext,hpc_tes,dlpfc_tes
0.527777777777778,0.583333333333333,0.45,0.65,0.4,0.5
0.527777777777778,0.555555555555556,0.7,0.75,0.75,0.55
0.472222222222222,0.638888888888889,0.5,0.7,0.7,0.45
0.555555555555556,0.583333333333333,0.5,0.55,0.6,0.55
0.75,0.75,0.6,0.55,0.55,0.75
0.5,0.444444444444444,0.5,0.7,0.5,0.7
0.388888888888889,0.5,0.6,0.55,0.4,0.55
0.527777777777778,0.583333333333333,0.6,0.5,0.75,0.5
0.527777777777778,0.527777777777778,0.5,0.9,0.35,0.65
0.527777777777778,0.555555555555556,0.65,0.6,0.5,0.35
0.666666666666667,0.666666666666667,0.65,0.55,0.7,0.7
0.694444444444444,0.444444444444444,0.5,0.65,0.45,0.5
0.777777777777778,0.777777777777778,0.75,0.35,0.55,0.65
0.555555555555556,0.638888888888889,0.5,0.75,0.55,0.6
0.527777777777778,0.611111111111111,0.55,0.5,0.45,0.55
0.444444444444444,0.472222222222222,0.65,0.3,0.65,0.5
0.583333333333333,0.694444444444444,0.7,0.85,0.25,0.5
0.527777777777778,0.666666666666667,0.65,0.5,0.75,0.65
0.666666666666667,0.611111111111111,0.55,0.5,0.55,0.5
0.527777777777778,0.722222222222222,0.6,0.6,0.55,0.55
0.416666666666667,0.722222222222222,0.5,0.8,0.6,0.4
0.611111111111111,0.666666666666667,0.55,0.55,0.45,0.7
0.388888888888889,0.611111111111111,0.35,0.75,0.25,0.6
0.388888888888889,0.5,0.6,0.7,0.7,0.7
0.472222222222222,0.638888888888889,0.6,0.6,0.45,0.65
0.444444444444444,0.75,0.25,0.5,0.4,0.6
0.5,0.5,0.4,0.7,0.5,0.7
0.555555555555556,0.611111111111111,0.6,0.65,0.4,0.45
0.5,0.722222222222222,0.6,0.85,0.7,0.65
0.583333333333333,0.722222222222222,0.55,0.65,0.55,0.45
0.5,0.611111111111111,0.4,0.7,0.6,0.75
0.638888888888889,0.611111111111111,0.4,0.7,0.6,0.75
0.555555555555556,0.555555555555556,0.75,0.75,0.4,0.6
0.527777777777778,0.666666666666667,0.65,0.5,0.4,0.65
0.583333333333333,0.527777777777778,0.45,0.3,0.55,0.5
0.583333333333333,0.611111111111111,0.45,0.4,0.55,0.4
0.527777777777778,0.555555555555556,0.7,0.65,0.7,0.85
0.5,0.694444444444444,0.5,0.55,0.6,0.75
0.75,0.722222222222222,0.5,0.35,0.45,0.65
0.694444444444444,0.5,0.7,0.75,0.7,0.55
0.583333333333333,0.5,0.55,0.75,0.55,0.6
