subID,gender,hpc_acq_csps_Sp,dlpfc_acq_csps_Sp,hpc_ext_csps_Sp,dlpfc_ext_csps_Sp,hpc_tes_csps_Sp,dlpfc_tes_csps_Sp,hpc_acq_cspe_Sp,dlpfc_acq_cspe_Sp,hpc_ext_cspe_Sp,dlpfc_ext_cspe_Sp,hpc_tes_cspe_Sp,dlpfc_tes_cspe_Sp,hpc_acq_csps_Up,dlpfc_acq_csps_Up,hpc_ext_csps_Up,dlpfc_ext_csps_Up,hpc_tes_csps_Up,dlpfc_tes_csps_Up,hpc_acq_cspe_Up,dlpfc_acq_cspe_Up,hpc_ext_cspe_Up,dlpfc_ext_cspe_Up,hpc_tes_cspe_Up,dlpfc_tes_cspe_Up
3,male,0.49375,0.51875,0.4,0.5375,0.3625,0.4875,0.6125,0.44375,0.625,0.45,0.5375,0.3375,0.333333333333333,0.361111111111111,0.7,0.6,0.35,0.6,0.722222222222222,0.611111111111111,0.55,0.65,0.65,0.75
5,male,0.55,0.5,0.525,0.7375,0.6125,0.625,0.68125,0.50625,0.65,0.575,0.825,0.8,0.666666666666667,0.444444444444444,0.65,0.75,0.65,0.7,0.75,0.666666666666667,0.6,0.7,0.8,0.85
6,male,0.5625,0.60625,0.5625,0.525,0.575,0.625,0.5125,0.55625,0.5625,0.625,0.675,0.4875,0.611111111111111,0.666666666666667,0.65,0.85,0.8,0.75,0.472222222222222,0.583333333333333,0.75,0.65,0.55,0.7
7,female,0.56875,0.55625,0.5125,0.4875,0.5125,0.575,0.5875,0.575,0.6,0.85,0.5375,0.5375,0.5,0.472222222222222,0.6,0.6,0.55,0.6,0.75,0.638888888888889,0.65,0.65,0.7,0.5
8,male,0.5125,0.55,0.75,0.7875,0.5875,0.5375,0.46875,0.65,0.45,0.575,0.65,0.4,0.694444444444444,0.638888888888889,0.5,0.4,0.7,0.7,0.583333333333333,0.416666666666667,0.4,0.4,0.7,0.7
9,female,0.44375,0.55625,0.4625,0.55,0.5,0.725,0.475,0.4125,0.725,0.725,0.75,0.575,0.5,0.583333333333333,0.35,0.65,0.5,0.45,0.305555555555556,0.527777777777778,0.5,0.6,0.45,0.65
10,female,0.55625,0.45,0.45,0.5375,0.6375,0.6,0.4875,0.43125,0.6,0.5625,0.7375,0.6375,0.555555555555556,0.472222222222222,0.55,0.65,0.65,0.35,0.611111111111111,0.416666666666667,0.5,0.35,0.7,0.5
11,male,0.6,0.6375,0.675,0.625,0.5125,0.5,0.54375,0.3625,0.6,0.8375,0.5125,0.55,0.416666666666667,0.583333333333333,0.7,0.65,0.55,0.5,0.611111111111111,0.5,0.6,0.5,0.55,0.45
12,male,0.48125,0.55,0.6,0.6125,0.775,0.7,0.68125,0.66875,0.525,0.6375,0.5,0.625,0.527777777777778,0.555555555555556,0.5,0.55,0.65,0.7,0.5,0.611111111111111,0.35,0.6,0.6,0.5
13,male,0.50625,0.4625,0.45,0.725,0.5875,0.8125,0.5875,0.59375,0.6,0.6,0.5875,0.7125,0.583333333333333,0.472222222222222,0.6,0.6,0.6,0.6,0.472222222222222,0.583333333333333,0.55,0.4,0.55,0.75
14,female,0.50625,0.6875,0.525,0.375,0.6625,0.8,0.625,0.48125,0.575,0.525,0.675,0.575,0.638888888888889,0.694444444444444,0.6,0.65,0.75,0.65,0.5,0.694444444444444,0.65,0.55,0.5,0.75
15,female,0.50625,0.54375,0.35,0.525,0.4625,0.55,0.50625,0.54375,0.4,0.5125,0.5125,0.5125,0.638888888888889,0.75,0.65,0.55,0.45,0.35,0.583333333333333,0.5,0.55,0.6,0.6,0.4
16,male,0.7125,0.59375,0.55,0.5125,0.5625,0.6125,0.68125,0.56875,0.625,0.8875,0.575,0.575,0.583333333333333,0.555555555555556,0.55,0.65,0.65,0.7,0.583333333333333,0.694444444444444,0.55,0.55,0.5,0.5
17,male,0.43125,0.48125,0.525,0.425,0.45,0.625,0.65625,0.60625,0.375,0.625,0.5,0.55,0.444444444444444,0.5,0.45,0.65,0.75,0.45,0.527777777777778,0.583333333333333,0.5,0.55,0.35,0.65
18,male,0.54375,0.58125,0.675,0.8125,0.45,0.4125,0.4875,0.45625,0.65,0.625,0.5625,0.5125,0.583333333333333,0.527777777777778,0.65,0.85,0.55,0.7,0.694444444444444,0.361111111111111,0.55,0.45,0.6,0.45
19,male,0.46875,0.55625,0.525,0.4625,0.425,0.45,0.5,0.50625,0.525,0.65,0.3875,0.425,0.555555555555556,0.611111111111111,0.65,0.7,0.6,0.6,0.611111111111111,0.694444444444444,0.45,0.55,0.4,0.4
20,female,0.64375,0.5625,0.8,0.75,0.6625,0.625,0.63125,0.54375,0.575,0.6125,0.8375,0.7,0.555555555555556,0.527777777777778,0.65,0.65,0.5,0.6,0.611111111111111,0.722222222222222,0.65,0.55,0.4,0.55
21,male,0.61875,0.5875,0.75,0.775,0.375,0.55,0.70625,0.725,0.825,0.8375,0.7375,0.6,0.611111111111111,0.638888888888889,0.4,0.65,0.75,0.6,0.638888888888889,0.833333333333333,0.55,0.7,0.6,0.45
22,male,0.60625,0.56875,0.475,0.6875,0.525,0.875,0.50625,0.65625,0.5625,0.4875,0.5875,0.475,0.638888888888889,0.583333333333333,0.5,0.75,0.65,0.45,0.638888888888889,0.527777777777778,0.6,0.55,0.75,0.45
23,male,0.66875,0.5625,0.55,0.3625,0.525,0.2875,0.5,0.5125,0.7,0.6875,0.425,0.5125,0.527777777777778,0.75,0.55,0.6,0.7,0.4,0.388888888888889,0.611111111111111,0.7,0.5,0.5,0.55
24,male,0.5,0.49375,0.475,0.5375,0.5375,0.8,0.53125,0.675,0.525,0.5125,0.75,0.675,0.666666666666667,0.472222222222222,0.35,0.55,0.7,0.65,0.416666666666667,0.75,0.6,0.3,0.4,0.55
25,female,0.4875,0.50625,0.5625,0.4625,0.5,0.4875,0.54375,0.53125,0.6625,0.5625,0.375,0.4875,0.638888888888889,0.611111111111111,0.75,0.65,0.4,0.5,0.5,0.583333333333333,0.55,0.7,0.55,0.55
26,male,0.53125,0.50625,0.625,0.6125,0.525,0.55,0.45,0.51875,0.525,0.5375,0.6375,0.5875,0.527777777777778,0.555555555555556,0.6,0.75,0.6,0.55,0.444444444444444,0.5,0.5,0.7,0.45,0.75
27,male,0.45625,0.5875,0.825,0.8375,0.5375,0.8125,0.59375,0.5375,0.725,0.6,0.6375,0.6875,0.527777777777778,0.416666666666667,0.75,0.75,0.7,0.6,0.583333333333333,0.611111111111111,0.65,0.7,0.45,0.4
28,female,0.54375,0.5625,0.5125,0.625,0.6875,0.5125,0.38125,0.6625,0.525,0.325,0.5875,0.5375,0.722222222222222,0.5,0.45,0.6,0.5,0.7,0.527777777777778,0.527777777777778,0.65,0.45,0.65,0.35
29,male,0.63125,0.69375,0.6,0.65,0.575,0.7,0.55625,0.525,0.6,0.5875,0.425,0.4625,0.638888888888889,0.694444444444444,0.65,0.75,0.5,0.55,0.666666666666667,0.694444444444444,0.5,0.6,0.5,0.45
30,female,0.50625,0.5125,0.7,0.6,0.6875,0.7375,0.54375,0.525,0.3125,0.3625,0.6875,0.7,0.583333333333333,0.527777777777778,0.4,0.6,0.6,0.8,0.5,0.583333333333333,0.55,0.5,0.65,0.75
31,female,0.61875,0.64375,0.4,0.6,0.825,0.625,0.64375,0.5375,0.5625,0.5,0.3375,0.5875,0.694444444444444,0.75,0.5,0.65,0.6,0.5,0.777777777777778,0.777777777777778,0.4,0.5,0.45,0.7
32,female,0.46875,0.55,0.375,0.4625,0.475,0.4375,0.50625,0.525,0.5375,0.575,0.6125,0.6125,0.666666666666667,0.527777777777778,0.6,0.6,0.7,0.4,0.5,0.638888888888889,0.75,0.75,0.65,0.8
33,male,0.625,0.50625,0.5,0.375,0.6375,0.6,0.75,0.55,0.55,0.5125,0.5625,0.5375,0.527777777777778,0.638888888888889,0.6,0.45,0.4,0.65,0.444444444444444,0.638888888888889,0.7,0.7,0.35,0.4
34,male,0.5375,0.5875,0.625,0.7375,0.475,0.575,0.54375,0.525,0.475,0.6125,0.575,0.65,0.444444444444444,0.722222222222222,0.6,0.7,0.4,0.55,0.5,0.583333333333333,0.6,0.75,0.45,0.65
35,male,0.56875,0.5,0.5875,0.7125,0.475,0.575,0.6,0.51875,0.8375,0.6375,0.4,0.4125,0.444444444444444,0.5,0.55,0.65,0.75,0.8,0.611111111111111,0.444444444444444,0.6,0.65,0.6,0.5
36,male,0.4625,0.46875,0.6,0.575,0.55,0.475,0.375,0.5,0.575,0.375,0.6125,0.4625,0.638888888888889,0.777777777777778,0.85,0.75,0.6,0.55,0.638888888888889,0.611111111111111,0.7,0.4,0.65,0.7
37,male,0.51875,0.5125,0.5125,0.475,0.525,0.5625,0.55,0.5,0.5625,0.5375,0.5,0.475,0.416666666666667,0.611111111111111,0.6,0.55,0.65,0.75,0.583333333333333,0.444444444444444,0.6,0.6,0.75,0.65
38,male,0.6375,0.5625,0.4,0.3875,0.5375,0.5,0.48125,0.64375,0.525,0.4875,0.525,0.6125,0.527777777777778,0.638888888888889,0.55,0.55,0.55,0.55,0.583333333333333,0.722222222222222,0.4,0.65,0.65,0.45
39,female,0.53125,0.375,0.3875,0.5875,0.3375,0.85,0.60625,0.54375,0.6875,0.7125,0.625,0.6,0.666666666666667,0.527777777777778,0.55,0.5,0.5,0.55,0.555555555555556,0.472222222222222,0.35,0.55,0.55,0.45
40,male,0.60625,0.56875,0.5375,0.625,0.5125,0.55,0.5125,0.65625,0.575,0.625,0.45,0.625,0.777777777777778,0.722222222222222,0.45,0.55,0.55,0.65,0.666666666666667,0.638888888888889,0.65,0.65,0.55,0.5
41,male,0.5,0.5625,0.475,0.5375,0.675,0.7,0.49375,0.7125,0.4625,0.5125,0.8,0.55,0.555555555555556,0.527777777777778,0.75,0.6,0.65,0.6,0.444444444444444,0.583333333333333,0.3,0.55,0.7,0.65
42,male,0.525,0.6125,0.7875,0.625,0.675,0.525,0.63125,0.5375,0.625,0.5375,0.55,0.5375,0.722222222222222,0.638888888888889,0.65,0.7,0.5,0.7,0.694444444444444,0.472222222222222,0.7,0.45,0.35,0.5
43,male,0.55625,0.525,0.5375,0.6125,0.45,0.5125,0.40625,0.54375,0.5625,0.675,0.75,0.775,0.611111111111111,0.527777777777778,0.55,0.6,0.6,0.5,0.638888888888889,0.472222222222222,0.45,0.6,0.8,0.8
44,female,0.61875,0.6875,0.5375,0.5375,0.5,0.4,0.5875,0.54375,0.4875,0.5,0.5875,0.3625,0.5,0.638888888888889,0.5,0.45,0.45,0.4,0.611111111111111,0.361111111111111,0.6,0.7,0.65,0.65
