subID,gender,csps_acq,cspe_acq,csm_acq,csps_ext,cspe_ext,csm_ext,csps_tes,cspe_tes,csm_tes
1,female,3,1,4,1,1.5,1,2,2,1
3,male,2.5,2.5,2.5,3,2.5,2.5,2,2.5,2.5
5,male,1.5,1,1,2,1.5,2,1.5,1.5,2
6,male,1.25,1.5,1,1,2.5,3,1,1,1.5
7,female,2.25,2.5,3,2,2,2.5,2,2,2
8,male,2,1,1.5,3,3,2.5,2.5,3,3
9,female,1.75,1.5,1.5,3.5,3,3,2.5,2.5,2
10,female,1.75,1.5,3,1,1,1,2,2,1
11,male,2,2,1.5,4,3.5,3.5,1,2,4
12,male,1.75,2.5,2,1,2,2.5,1.5,1.5,2
13,male,1.5,1.5,1,1,1,1,1,1,1
14,female,2,3,3,3,3.5,2.5,2.5,2.5,2.5
15,female,2.75,2.5,1.5,1.5,2,1,1.5,1.5,1.5
16,male,2.25,1,2.5,2,2.5,4,1,1,3.5
17,male,1.25,1.5,2.5,1.5,3,3,1,1,2.5
18,male,2.75,1,2.5,2.5,2.5,2.5,3,3.5,1
19,male,2.25,2,2,1,1,1.5,1.5,1,1
20,female,2.75,1.5,2,2,3,2.5,2.5,2,1.5
21,male,2.75,1,1,2,1,1,1,1,1
22,male,1.5,2.5,2.5,4,2.5,2.5,1.5,1,1.5
23,male,2.5,4,3.5,3.5,4,4,2.5,2.5,2.5
24,male,2.33333333333333,1,3.5,3,2.5,2.5,3.5,2.5,2
25,female,2,2,1.5,2.5,3,2,2,2,2
26,male,1.5,2,2,1.5,1,2,1,1.5,1
27,male,1.5,2.5,2,2,2,2,1,1.5,2
28,female,2,1.5,3,2,2.5,1.5,1.5,1.5,1.5
29,male,2.75,3,2,2.5,1,2.5,2,1.5,1
30,female,1,1,1,2.5,1.5,3,1,1,1
31,female,2,2,1.5,2.5,1,1.5,1.5,1,1
32,female,2.5,3,3,2.5,3,2.5,3,1,3
33,male,2.25,1.5,2,4,3,2.5,2,1.5,2.5
34,male,2,2,2.5,1,2,2.5,1.5,1,2
35,male,1,1,1,1,1,1,1,1,1
36,male,1.25,2,2,2,2.5,2.5,1,1.5,2
37,male,2.5,2,1,2.5,2,2.5,1,1,1
38,male,2.25,2.5,NaN,1,1,1,2.5,3,1
39,female,3,1.5,2.5,3,2,1,3,1,2
40,male,1.5,2,1,1.5,1,1,1,1,1
41,male,2,3,1.5,2,2.5,2.5,1.5,2,2
42,male,3,2.5,2.5,1.5,1,3,2,1.5,2
43,male,2.25,3,2,2,2,1.5,1,1,2
44,female,1,3.5,2.5,1.5,1,1,1.5,1,1
